arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,59,frequent,269.9,76,1,381.8,185.7,453,446,310.0,312.5
trace,exposure,60,frequent,255.6,222,1,168.5,140.9,336,334,303.0,303.9
trace,exposure,61,frequent,85.5,6,1,251.0,306.3,336,297,300.4,304.1
trace,exposure,62,frequent,273.2,291,1,181.6,142.7,327,374,294.4,296.0
trace,exposure,63,frequent,263.2,62,1,189.0,156.9,376,342,289.1,289.0
trace,exposure,64,rare,272.3,43,1,389.2,593.4,333,327,294.2,304.2
trace,exposure,65,rare,291.2,30,1,655.8,379.5,365,365,312.2,308.0
trace,exposure,66,frequent,256.7,43,1,236.3,192.5,386,401,308.4,302.2
trace,exposure,67,rare,415.2,40,1,572.8,645.3,284,347,321.7,319.4
trace,exposure,68,frequent,266.8,215,1,144.3,160.6,338,344,312.8,311.4
trace,exposure,69,frequent,62.8,3,1,385.1,335.3,329,307,316.4,312.6
trace,exposure,70,rare,295.3,112,1,537.6,595.9,331,385,327.5,326.8
trace,exposure,71,rare,487.0,86,1,647.6,631.7,291,300,343.5,342.0
trace,exposure,72,rare,280.2,27,1,311.8,650.5,381,379,341.9,357.5
trace,exposure,73,frequent,274.4,276,1,160.5,163.4,340,371,332.8,347.8
trace,exposure,74,rare,303.5,118,1,153.1,631.3,392,444,323.8,361.9
trace,exposure,75,rare,272.8,20,1,509.2,565.0,326,363,333.1,372.1
trace,exposure,76,frequent,251.4,542,1,390.9,148.9,357,398,336.0,360.9
trace,exposure,77,frequent,288.2,110,1,170.5,247.5,396,427,327.7,355.3
trace,exposure,78,frequent,254.2,224,1,201.1,146.9,347,355,321.4,344.8
trace,exposure,79,frequent,267.7,55,1,378.2,166.6,389,434,324.2,335.9
trace,exposure,80,frequent,119.2,9,1,251.6,202.5,309,307,320.6,329.3
trace,exposure,81,frequent,271.1,173,1,140.5,162.3,339,347,311.6,320.9
trace,exposure,82,frequent,186.2,338,1,235.9,148.1,326,311,307.8,312.3
trace,exposure,83,frequent,272.8,149,1,302.2,157.3,405,410,307.5,304.5
trace,exposure,84,frequent,161.1,15,1,336.6,146.1,317,306,309.0,296.6
trace,exposure,85,rare,323.9,33,1,267.5,643.3,337,327,306.9,313.9
trace,exposure,86,frequent,310.0,77,1,210.9,153.3,389,407,302.1,305.9
