arm,seed,trial,drift
fitted,104,5,0.78000
fitted,104,6,1.98000
fitted,104,7,1.16000
fitted,104,8,3.32000
fitted,104,9,3.32000
fitted,104,10,-0.20000
fitted,104,11,0.08000
fitted,104,12,-0.42000
fitted,104,13,2.04000
fitted,104,14,0.84000
fitted,104,15,-0.12000
fitted,104,16,0.90000
fitted,104,17,2.62000
fitted,104,18,2.94000
fitted,104,19,3.42000
fitted,104,20,-0.20000
fitted,104,21,0.68000
fitted,104,22,2.64000
fitted,104,23,-1.04000
fitted,104,24,0.22000
fitted,104,25,-0.16000
fitted,104,26,-2.04000
fitted,104,27,1.80000
fitted,104,28,1.12000
fitted,104,29,0.68000
fitted,104,30,0.40000
fitted,104,31,-0.12000
fitted,104,32,0.36000
fitted,104,33,2.58000
fitted,104,34,2.30000
fitted,104,35,3.54000
fitted,104,36,3.42000
fitted,104,37,0.90000
fitted,104,38,0.26000
fitted,104,39,3.60000
fitted,104,40,0.58000
fitted,104,41,2.30000
fitted,104,42,1.88000
fitted,104,43,-1.02000
fitted,104,44,4.08000
fitted,104,45,0.06000
fitted,104,46,-0.42000
fitted,104,47,-2.44000
fitted,104,48,1.56000
fitted,104,49,1.04000
fitted,104,50,2.56000
fitted,104,51,1.56000
fitted,104,52,2.88000
fitted,104,53,-1.24000
fitted,104,54,0.94000
fitted,104,55,-0.12000
fitted,104,56,1.52000
fitted,104,57,0.46000
fitted,104,58,-1.70000
fitted,104,59,2.74000
fitted,104,60,0.22000
fitted,104,61,2.20000
fitted,104,62,-0.60000
fitted,104,63,-0.58000
fitted,104,64,3.26000
fitted,104,65,-1.84000
fitted,104,66,0.58000
fitted,104,67,0.20000
fitted,104,68,2.88000
fitted,104,69,3.24000
fitted,104,70,0.92000
fitted,104,71,1.40000
fitted,104,72,1.12000
fitted,104,73,1.98000
fitted,104,74,0.84000
fitted,104,75,-1.68000
fitted,104,76,0.68000
fitted,104,77,0.32000
fitted,104,78,0.34000
fitted,104,79,0.64000
fitted,104,80,0.46000
fitted,104,81,3.64000
fitted,104,82,1.02000
fitted,104,83,1.06000
fitted,104,84,-3.00000
fitted,104,85,1.60000
fitted,104,86,2.08000
fitted,104,87,2.74000
fitted,104,88,2.66000
fitted,104,89,1.18000
fitted,104,90,0.38000
fitted,104,91,1.54000
fitted,104,92,0.70000
fitted,104,93,1.84000
fitted,104,94,2.42000
fitted,104,95,-0.32000
fitted,104,96,3.06000
fitted,104,97,-1.02000
fitted,104,98,0.10000
fitted,104,99,2.38000
fitted,104,100,0.94000
fitted,104,101,2.72000
fitted,104,102,0.62000
fitted,104,103,-1.48000
fitted,104,104,-1.44000
fitted,104,105,-0.08000
fitted,104,106,-1.42000
fitted,104,107,-2.78000
fitted,104,108,0.90000
fitted,104,109,1.24000
fitted,104,110,3.04000
fitted,104,111,2.26000
fitted,104,112,1.46000
fitted,104,113,-0.44000
fitted,104,114,1.00000
fitted,104,115,0.56000
fitted,104,116,2.76000
fitted,104,117,0.12000
fitted,104,118,-2.18000
fitted,104,119,1.76000
fitted,104,120,2.22000
fitted,104,121,2.36000
fitted,104,122,0.14000
fitted,104,123,-0.84000
fitted,104,124,0.72000
fitted,104,125,-1.30000
fitted,104,126,-1.40000
fitted,104,127,-0.72000
fitted,104,128,0.04000
fitted,104,129,-1.54000
fitted,104,130,-1.54000
fitted,104,131,-0.48000
fitted,104,132,0.74000
fitted,104,133,1.46000
fitted,104,134,-0.76000
fitted,104,135,-3.02000
fitted,104,136,-0.90000
fitted,104,137,-1.08000
fitted,104,138,-2.02000
fitted,104,139,-1.12000
fitted,104,140,-2.02000
fitted,104,141,-1.08000
fitted,104,142,-2.38000
